agent_id,count_last,best_reward,reward_last_average,solved_on,reward_target,beam_length
552001a4-0da9-47d5-b90a-ab59eaf60b0c,20,83.24211556379252,36.26408709085787,20000,50.0,0.25
03bcdd61-39ef-4d49-9b66-088142b3bca7,20,60.3950715160863,50.101872012673695,354,50.0,0.5
b2d9aff8-aa67-486b-ad49-845d6d4fe0f7,20,59.62905660777178,38.497114300011944,20000,50.0,0.75
2ef4007d-256c-4e3b-b39b-7f3f425fe794,20,66.15543318389356,52.742239150994365,364,50.0,1.0
c4cc18d0-90a6-4706-94c0-9ccc17f74012,20,69.29152437791205,50.30058623250249,428,50.0,1.25
a5b74e5c-655d-4206-9e04-66bf080536c4,20,82.98496526362018,50.38865184678035,359,50.0,1.5
63fa0497-ea52-4c32-8fd6-00f1527f8681,20,76.36873064947099,50.46972180167764,359,50.0,1.75
87dd0a17-3e51-489f-bd95-13ec3ceac071,20,58.85697196616904,50.26563592563349,363,50.0,2.0
457ef502-10ad-420b-8713-aa990fa8260e,20,69.78301139335167,50.84992967110834,407,50.0,2.25
b2f156ab-1b91-4f99-9f56-8ee7b7396071,20,52.05542338879077,49.464314727582554,20000,50.0,2.5
133cd5da-73f3-4370-a846-63ce890178c4,20,80.60527272361763,50.27069940736878,374,50.0,2.75
74ea70ea-9c30-4c47-a75d-c28f57446153,20,72.043916353625,50.65406937165635,286,50.0,3.0
819cb7a4-fc23-4c0a-8ccc-40616b377e99,20,64.37370463549894,36.898324295681064,20000,50.0,3.25
ae499875-ec4f-4186-924e-90f671e8ad3e,20,70.95081638620353,51.136790742326106,322,50.0,3.5
1f8a1f80-944c-4dfa-8524-a2706a897294,20,75.06024712018518,50.29449968311086,320,50.0,3.75
e815c5e0-8e40-4036-88e4-c85475669534,20,70.77979065322317,51.610588061917596,194,50.0,4.0
c90fbb9c-a5b4-4055-9588-de9a5b77e30f,20,73.11611311365469,51.452267662976524,359,50.0,4.25
6266a6ca-af61-400f-9271-7a16466e8d1e,20,76.696295514257,51.178494117415255,234,50.0,4.5
8b91079a-5ce5-4903-a759-fabced7df6c0,20,74.49973414279255,50.22224356267405,243,50.0,4.75
081aaf92-70c1-4453-95f0-294901d62b2a,20,72.87385944813494,50.831450886055386,395,50.0,5.0
